Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2024-01-01,295.14222657169034,290.17057965264615,286.01123954182754,282.89471062585915,278.8168064010623,273.09427577386634,268.1500564551633,267.5329673760617,272.1763410726302,278.81561883806825,282.37489254793195,280.14182732725703,273.72786232590727,267.0131874900173,262.28804097071867,258.5636326087932,253.7347768843991,248.23093197754937,246.10726352199185,251.9900914146047,266.51857689016606,284.6939330500176,299.0026669912451,304.7208416837641
2024-01-02,302.7551408482864,297.72461458731857,293.4334615770559,290.1159477933149,285.772337817052,279.7244588568234,274.4008849744535,273.3565543327972,277.531321380269,283.6674677852359,286.69615709508105,283.91226838022646,276.93450724567214,269.6502932137878,264.35696922720575,260.0726397900946,254.6987221864793,248.67090841012111,246.0501573230431,251.46807626036008,265.5685500642632,283.35690141059854,297.32309115267356,302.7459472923349
2024-01-03,300.53420618240733,295.3082439453194,290.8728540223589,287.4621708173252,283.075615343862,277.0334827568788,271.7621588856432,270.8137781074444,275.124823882887,281.4336950893753,284.6672223500907,282.11556877356094,275.39241257031523,268.37990957360677,263.3699804110608,259.37522779392094,254.2915673078863,248.54926828613742,246.2040232283956,251.88240396154043,266.22356154775827,284.22845285789344,298.3831016834983,303.96288218361883
2024-01-04,301.8736075703671,296.7333013954948,292.34500683917605,288.9417335515619,284.52241766478534,278.4075146741433,273.02421224768307,271.9260753604857,276.0516252570894,282.141875670491,285.12681090418516,282.30024070820735,275.2799300285882,267.95250237389695,262.6146623248218,258.28404353226756,252.8617665101761,246.78340377837824,244.10997183931235,249.47330922656218,263.51769867077553,281.2490173659729,295.15792422093216,300.52407291293844
2024-01-05,298.2571345958969,292.97850853444515,288.4940768995909,285.0391040391263,280.61415650828314,274.54066413743055,269.24610966834297,268.2836597066283,272.59073874790636,278.90656982444494,282.15866638679876,279.6377102295274,272.9577133081105,266.0009618303215,261.0592876831299,257.14497296259754,252.15337123555585,246.51394231998722,244.28131921438506,250.08076548973946,264.54988020446547,282.68783329164233,296.97863923102807,302.6954567362711
2024-01-06,300.74169720407644,295.7328191058782,291.46916348197414,288.18092980724987,283.86416752237386,277.8364025659482,272.5218855733885,271.4712737124156,275.62024721310485,281.7070835516489,284.6591734255634,281.76791295273125,274.6488697070188,267.18672084224266,261.6765083713491,257.1345175033212,251.46086190845193,245.09047308539323,242.08411295210885,247.0737685722574,260.7042867976363,277.98253257543104,291.40057963004654,296.2399222135342
2024-01-07,293.4124917092967,287.5423563497871,282.43846033146514,278.33950274210724,273.24983275270637,266.4949815598395,260.50681887939965,258.84314706792725,262.44623498165475,268.0603155362675,270.61803202558826,267.4152684888777,260.0712624763205,252.4734991292636,246.9189321746993,242.424838156186,236.89138808373554,230.75263384089703,228.06752851982702,233.46533951936328,247.5873119696476,265.4358658946888,279.4978353843961,285.0487378645332
2024-01-08,282.99385660156554,277.95001390236786,273.7183904216847,270.5294900481083,266.3791257875995,260.5840460654181,255.56718812091134,254.87737042217486,259.4479250520281,266.0142928598858,269.50056528714674,267.19440703443246,260.7072568369747,253.9193042367445,249.1207869901737,245.32291455405186,240.42050103487463,234.84300424965727,232.64558947927904,238.45457627918358,252.90912555323303,271.01045008282836,285.24505665635445,290.8890079463697
2024-01-09,288.84898738761376,283.7440448077001,279.3783786204258,275.98625454964576,271.56793693751735,265.44525276487474,260.0467758787604,258.92744423799877,263.0271121006978,269.0880609568288,272.04145418784105,269.1821707108665,262.1289159903471,254.76910942129464,249.40009383137573,245.03997362330142,239.59016599267727,233.48636285833695,230.78952302017305,236.13125376543218,250.1554399016165,267.86740408350283,281.7571071573254,287.10337713173044
2024-01-10,284.8149503804515,279.51220306049584,274.99992866254297,271.51226165361214,267.0486231250831,260.92930832399924,255.58070318676397,254.55494221181112,258.78850899602924,265.0198025679413,268.1756537167305,265.5462257322109,258.7451970201048,251.65472362621145,246.56672640401786,242.49380830708031,237.33188517829277,231.5112266239202,229.0875254321677,234.687353734243,248.94986291232811,266.8760101728358,280.95181965892016,286.4526658987952
2024-01-11,284.28436248681317,279.0649333752709,274.5974221605566,271.11483892508676,266.6161202498487,260.42172209560516,254.95883261178952,253.7810172718434,257.8267978351608,263.83718856640877,266.7421743169476,263.835565402319,256.7351273503041,249.32748426834598,243.90934135291258,239.49833288782418,233.99558003703572,227.83665598713895,225.08257792517486,230.3651850860985,244.32876091933878,261.97918335492454,275.807112055418,281.09220146877203
2024-01-12,278.7441235375593,273.3842783322923,268.818548847519,265.2822002722292,260.7758000198022,254.62077879790712,249.24462024198266,248.200491869583,252.42581910629724,258.6598259317223,261.8300267615462,259.2271043739636,252.4650717254799,245.42621604296505,240.40237025042995,236.405817499173,231.33191242902979,225.61011594895825,223.29506216687162,229.01201578096186,243.3985769949577,261.45391690527083,275.6620511736682,281.2961397131968
2024-01-13,279.25959513864365,274.1678771575864,269.82132806458935,266.4501486068856,262.0503895157924,255.93957803914006,250.54196613899427,249.4082123285661,253.47399820114055,259.47760261562865,262.3464176682653,259.3718408957635,252.16944130867938,244.62389751410166,239.030252999056,234.40479446306887,228.64763708573713,222.1937138927071,219.10378834792095,224.00984907775432,237.5567445176785,254.7513412130115,268.0857145067607,272.8413602871167
